ffy,stfips,st,age_at_start,age_at_lf,legally_free_first_day,total_kids_in_care_first_day,per_leg_free_first_day,became_legally_free,exit_one_year,per_exit_one_year
2010,47,TN,2,2,168,1077,0.155988858,222,180,0.810810811
2010,47,TN,3,3,213,1291,0.164988381,183,118,0.644808743
2010,47,TN,4,4,143,1165,0.122746781,96,43,0.447916667
2010,48,TX,0,0,9297,24709,0.376259662,5148,2255,0.438034188
2010,48,TX,1,1,2846,9928,0.286663981,2838,1531,0.539464412
2010,48,TX,2,2,2652,6634,0.399758818,1322,484,0.366111952
2010,48,TX,3,3,2726,5729,0.475824751,751,192,0.255659121
2010,48,TX,4,4,1073,2418,0.44375517,237,48,0.202531646
2010,49,UT,0,0,408,2121,0.192362093,555,443,0.798198198
2010,49,UT,1,1,137,637,0.215070644,324,294,0.907407407
2010,49,UT,2,2,108,434,0.248847926,152,107,0.703947368
2010,49,UT,3,3,121,603,0.20066335,65,35,0.538461538
2010,49,UT,4,4,42,447,0.093959732,14,7,0.5
2010,50,VT,0,0,152,804,0.189054726,146,122,0.835616438
2010,50,VT,1,1,32,204,0.156862745,74,72,0.972972973
2010,50,VT,2,2,39,156,0.25,37,30,0.810810811
2010,50,VT,3,3,53,217,0.244239631,21,13,0.619047619
2010,50,VT,4,4,28,227,0.123348018,14,7,0.5
2010,51,VA,0,0,1314,4719,0.278448824,764,338,0.442408377
2010,51,VA,1,1,341,1282,0.26599064,339,207,0.610619469
2010,51,VA,2,2,381,1090,0.349541284,205,69,0.336585366
2010,51,VA,3,3,424,1368,0.30994152,174,46,0.264367816
2010,51,VA,4,4,168,979,0.171603677,46,16,0.347826087
2010,53,WA,0,0,1979,9078,0.217999559,1506,975,0.647410359
2010,53,WA,1,1,698,3820,0.182722513,908,674,0.742290749
2010,53,WA,2,2,612,2395,0.255532359,369,212,0.574525745
2010,53,WA,3,3,510,2011,0.253605172,190,76,0.4
2010,53,WA,4,4,159,852,0.186619718,39,13,0.333333333
2010,54,WV,0,0,1124,3625,0.310068966,931,230,0.247046187
2010,54,WV,1,1,430,1236,0.34789644,454,154,0.339207048
2010,54,WV,2,2,313,863,0.362688297,268,43,0.160447761
2010,54,WV,3,3,274,902,0.303769401,181,29,0.160220994
2010,54,WV,4,4,107,624,0.171474359,28,4,0.142857143
2010,55,WI,0,0,593,5747,0.10318427,726,560,0.771349862
